,2014,2015,2016,2014Category,2015Category,2016Category,2014Encoded,2015Encoded,2016Encoded,,ML Predicts all 3 yrs,ML Predicts 2014-2015
Haiti,"345,916,448","387,705,008","301,893,290",,,,,,,,,
Honduras,"90,731,492","83,857,987","120,713,714",,,,,,,,,
Hungary,"14,176,954","2,157,017","897,346",,,,,,,,,
India,"116,933,144","110,364,115","89,143,269",,,,,,,,,
Indonesia,"212,176,760","232,098,398","162,624,011",,,,,,,,,
Iran,"1,032,484","674,800",,,,,,,,,,
Iraq,"382,746,222","371,108,946","158,463,336",,,,,,,,,
Ireland,"5,300,000","1,520,000",,,,,,,,,,
Israel,"19,743,998","15,699,774","4,188,982",,,,,,,,,
Italy,"1,520,061","645,996",,,,,,,,,,
Jamaica,"26,096,027","27,338,286","19,490,628",,,,,,,,,
Japan,"3,140,009","8,492,882",,,,,,,,,,
Jordan,"755,888,767","1,074,204,835","514,068,190",,,,,,,,,
Kazakhstan,"63,139,904","63,266,506","15,262,500",,,,,,,,,
Kenya,"840,507,737","746,024,724","461,927,362",,,,,,,,,
Korea Republic,"1,043,100","3,433,770","312,222",,,,,,,,,
"Korea, Democratic Republic","2,041,485","2,003,873","5,394",,,,,,,,,
Kuwait,"92,372","226,957",,,,,,,,,,
Kyrgyzstan,"63,991,600","63,554,845","39,583,624",,,,,,,,,
Laos,"15,289,913","18,323,159","14,881,734",,,,,,,,,
Latvia,"1,176,167","881,965",,,,,,,,,,
Lebanon,"113,139,649","275,661,720","107,487,114",,,,,,,,,
Lesotho,"72,433,008","29,072,491","24,797,919",,,,,,,,,
Liberia,"201,106,074","501,105,764","318,640,226",,,,,,,,,
Libya,"18,121,772","24,035,393","14,680,830",,,,,,,,,
Lithuania,"2,920,263","5,487,156",,,,,,,,,,
Macedonia,"24,349,131","23,565,948","18,124,888",,,,,,,,,
Madagascar,"67,151,870","152,164,694","85,840,559",,,,,,,,,
Malawi,"232,066,877","211,400,907","279,364,661",,,,,,,,,
Malaysia,"7,005,439","8,355,125","644,449",,,,,,,,,
Maldives,"928,339","428,551","1,197,540",,,,,,,,,
Mali,"192,242,997","162,995,991","164,510,364",,,,,,,,,
Malta,"560,129","637,035",,,,,,,,,,
Marshall Islands,"62,062,343","69,098,093","1,798,880",,,,,,,,,
Mauritania,"14,081,278","24,267,414","9,614,173",,,,,,,,,
Mauritius,"570,577","302,765","45,166",,,,,,,,,
Mexico,"174,119,542","283,399,756","54,197,659",,,,,,,,,
Micronesia (Federated States),"141,312,792","91,706,396","13,857,749",,,,,,,,,
Moldova,"127,714,443","121,614,414","42,148,408",,,,,,,,,
Mongolia,"27,462,775","12,090,788","2,569,619",,,,,,,,,
Montenegro,"3,075,954","2,307,024",,,,,,,,,,
Morocco,"40,794,920","15,060,351","28,768,077",,,,,,,,,
Mozambique,"440,216,605","323,131,372","218,180,687",,,,,,,,,
Namibia,"169,513,365","85,268,378","22,081,759",,,,,,,,,
Nepal,"82,629,050","138,965,106","155,563,817",,,,,,,,,
Netherlands,"17,311","3,285,802",,,,,,,,,,
Nicaragua,"35,136,114","38,620,423","29,303,294",,,,,,,,,
Niger,"75,635,845","104,241,951","69,643,278",,,,,,,,,
Nigeria,"559,447,114","440,551,561","358,462,811",,,,,,,,,
Oman,"2,323,653","2,190,784",,,,,,,,,,
Pakistan,"690,533,959","824,314,737","652,346,033",,,,,,,,,
Palau,"13,780,553","13,721,174","146,506",,,,,,,,,
Panama,"6,570,917","10,558,143","1,129,757",,,,,,,,,
Papua New Guinea,"6,903,346","8,210,321","7,650,716",,,,,,,,,
Paraguay,"16,041,015","18,048,178","12,584,160",,,,,,,,,
Peru,"131,091,751","291,673,247","69,497,970",,,,,,,,,
Philippines,"306,772,495","293,266,111","184,839,135",,,,,,,,,
Poland,"15,695,197","13,063,028","6,345",,,,,,,,,
Portugal,"225,145","421,763",,,,,,,,,,
Qatar,"3,098","14,398","19,334",,,,,,,,,
Romania,"8,075,592","6,042,425",,,,,,,,,,
Russia,"135,163,761","28,711,322","-108,824",,,,,,,,,
Rwanda,"166,109,155","183,250,134","123,954,025",,,,,,,,,
Samoa,"793,159","857,873","599,612",,,,,,,,,
Sao Tome and Principe,"286,903","142,604","57,450",,,,,,,,,
Saudi Arabia,"347,824","252,055",,,,,,,,,,
Senegal,"264,384,121","308,847,005","161,444,177",,,,,,,,,
Serbia,"37,464,783","26,628,019","17,684,233",,,,,,,,,
Seychelles,"70,093","15,959","17,664",,,,,,,,,
Sierra Leone,"16,158,906","73,923,692","120,504,585",,,,,,,,,
Singapore,"471,279","384,392",,,,,,,,,,
Slovak Republic,"914,932","355,338",,,,,,,,,,
Slovenia,"350,388","355,138",,,,,,,,,,
Solomon Islands,"1,552,980","596,081","622,176",,,,,,,,,
Somalia,"213,295,743","213,719,199","184,466,441",,,,,,,,,
South Africa,"554,187,268","366,342,396","289,063,184",,,,,,,,,
South Sudan,"608,234,488","665,466,675","503,215,243",,,,,,,,,
Spain,"2,080,182","3,070,425",,,,,,,,,,
Sri Lanka,"45,158,210","32,631,782","23,701,622",,,,,,,,,
St. Lucia,"9,405","15,584",,,,,,,,,,
Sudan,"262,896,407","118,087,120","105,005,990",,,,,,,,,
Sudan (former),"145,676,552","119,947,915","101,546,679",,,,,,,,,
Swaziland,"43,950,014","34,323,036","32,151,297",,,,,,,,,
Switzerland,"557,392","1,133,352",,,,,,,,,,
Syria,"786,441,452","737,264,094","569,845,235",,,,,,,,,
Tajikistan,"42,683,025","35,400,319","23,697,925",,,,,,,,,
Tanzania,"594,109,297","457,116,160","297,048,782",,,,,,,,,
Thailand,"51,942,275","53,828,345","2,955,684",,,,,,,,,
Timor-Leste,"34,253,928","21,638,648","20,449,989",,,,,,,,,
Togo,"3,162,157","3,002,098","722,260",,,,,,,,,
Tonga,"1,334,477","1,359,430","604,482",,,,,,,,,
Trinidad and Tobago,"431,679","800,944",,,,,,,,,,
Tunisia,"22,903,789","19,506,580","18,005,091",,,,,,,,,
Turkey,"72,542,581","41,572,708","606,586",,,,,,,,,
Turkmenistan,"8,987,261","8,337,095","2,659,927",,,,,,,,,
Uganda,"481,777,507","404,173,403","342,007,462",,,,,,,,,
Ukraine,"171,042,405","290,271,722","136,242,618",,,,,,,,,
United Arab Emirates,"681,233","601,655",,,,,,,,,,
United Kingdom,"68,416","203,479",,,,,,,,,,
Uruguay,"496,200","637,682","50,000",,,,,,,,,
Uzbekistan,"24,585,648","15,861,147","8,047,023",,,,,,,,,
Vanuatu,"3,042,039","4,599,720","1,728,323",,,,,,,,,
Venezuela,"6,153,088","7,287,486","5,068,589",,,,,,,,,
Vietnam,"109,160,418","92,345,258","68,299,531",,,,,,,,,
West Bank/Gaza,"387,347,218","456,553,887","283,919,737",,,,,,,,,
Yemen,"220,475,319","157,739,743","238,518,386",,,,,,,,,
Zambia,"338,378,808","287,497,830","185,153,148",,,,,,,,,
Zimbabwe,"184,794,038",,"156,358,791",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bold values are calculated from the average values available for that country,,,,,,,,,,,,
